,0.ID,0.dist,1.ID,1.dist,3.ID,3.dist,5.ID,5.dist,6.ID,6.dist,8.ID,8.dist,9.ID,9.dist,10.ID,10.dist,13.ID,13.dist,14.ID,14.dist,20.ID,20.dist,22.ID,22.dist,23.ID,23.dist,85.ID,85.dist,95.ID,95.dist,160.ID,160.dist,123.ID,123.dist
25,67,0.0321,22,0.0309,1,0.0264,23,0.032,16,0.0318,153,0.0353,110,0.0278,101,0.0354,83,0.0236,9,0.031,11,0.0269,153,0.0329,28,0.0285,0,0.0319,1,0.0231,5,0.0266,180,0.0338
26,19,0.0322,4,0.0311,131,0.0264,54,0.032,27,0.0322,5,0.0353,17,0.0281,5,0.0358,16,0.0239,191,0.0312,23,0.0276,23,0.0332,38,0.0286,101,0.0324,131,0.0232,10,0.027,2,0.0338
27,65,0.0327,143,0.0314,27,0.0264,27,0.0321,112,0.0331,4,0.0358,24,0.029,180,0.036,101,0.0245,54,0.0314,17,0.028,160,0.0339,84,0.029,110,0.033,170,0.0234,143,0.0288,13,0.0348
28,73,0.0335,6,0.0315,143,0.0266,12,0.0327,143,0.0333,85,0.0359,22,0.03,27,0.0362,53,0.0246,8,0.0317,32,0.0281,4,0.0345,135,0.0293,112,0.0337,85,0.0242,67,0.0291,5,0.0348
29,135,0.0337,7,0.0322,24,0.0275,2,0.0327,113,0.0337,83,0.0376,10,0.0304,143,0.0377,73,0.0266,135,0.0333,153,0.0285,17,0.0359,8,0.0293,67,0.0337,23,0.0253,32,0.0301,135,0.0349
30,59,0.0337,11,0.0326,18,0.0282,24,0.0329,131,0.0342,131,0.0378,12,0.0304,14,0.0378,143,0.0271,4,0.0349,85,0.0287,135,0.036,54,0.0298,9,0.0347,115,0.0262,40,0.0306,83,0.0355
31,170,0.034,135,0.0328,191,0.0289,191,0.0332,53,0.0351,54,0.0378,2,0.0304,28,0.038,23,0.0271,85,0.0353,14,0.0288,84,0.0367,146,0.0299,1,0.0348,12,0.0263,135,0.0318,27,0.0361
32,180,0.0341,113,0.033,7,0.029,67,0.0333,73,0.0352,84,0.038,184,0.0305,83,0.0394,10,0.0276,184,0.0359,115,0.0302,67,0.0386,7,0.03,29,0.0349,2,0.0263,113,0.0319,4,0.0362
33,184,0.0342,67,0.0331,67,0.0295,184,0.034,54,0.0356,180,0.0383,7,0.0307,53,0.0398,5,0.0276,74,0.0362,18,0.0308,140,0.0401,101,0.0305,14,0.0353,29,0.0274,131,0.0324,85,0.0366
34,9,0.0343,191,0.0335,184,0.0299,18,0.0341,23,0.0359,27,0.0387,14,0.031,54,0.0406,11,0.0284,7,0.0366,110,0.0309,18,0.0404,180,0.0306,146,0.0355,143,0.0284,27,0.0337,7,0.0368
35,7,0.0352,160,0.0344,113,0.0304,19,0.0344,11,0.0383,146,0.0392,143,0.0319,8,0.0407,8,0.0291,19,0.0371,12,0.0314,74,0.0405,17,0.0308,180,0.0358,113,0.0287,22,0.0339,50,0.0372
36,21,0.0353,85,0.0348,146,0.0314,123,0.0348,32,0.039,135,0.0394,191,0.0322,0,0.0411,153,0.0294,112,0.0373,2,0.0314,113,0.0406,59,0.0308,8,0.0359,153,0.0292,4,0.0342,115,0.0373
37,28,0.0361,5,0.0349,23,0.0318,1,0.0349,110,0.0392,28,0.0395,67,0.0322,67,0.0419,14,0.0301,67,0.0374,67,0.0321,146,0.0412,29,0.0309,17,0.036,18,0.0305,184,0.0343,184,0.0378
38,146,0.0362,140,0.035,65,0.0319,8,0.0353,184,0.0405,10,0.0407,11,0.0323,1,0.0428,22,0.0305,23,0.0377,113,0.0324,110,0.0432,32,0.0309,123,0.0366,146,0.0309,1,0.0344,1,0.0379
39,17,0.0362,17,0.0352,170,0.0323,110,0.0354,40,0.0413,184,0.0407,113,0.0328,123,0.0432,135,0.0306,10,0.0378,74,0.0329,14,0.0436,69,0.0312,3,0.0375,7,0.031,115,0.0356,146,0.0379
